pincode,post_office_count,district_candidate_count,state_candidate_count,district_candidates,state_candidates,preferred_district,preferred_state,resolution_status,is_safe_for_direct_join,valid_coordinate_pair_count,invalid_coordinate_pair_count,incomplete_coordinate_pair_count,likely_swapped_coordinate_count,mean_valid_latitude,mean_valid_longitude
332705,9,1,1,SIKAR,RAJASTHAN,SIKAR,RAJASTHAN,exact,True,9,0,0,0,27.629814,75.879823
332706,5,1,1,SIKAR,RAJASTHAN,SIKAR,RAJASTHAN,exact,True,5,0,0,0,27.623829,75.508276
332707,7,1,1,SIKAR,RAJASTHAN,SIKAR,RAJASTHAN,exact,True,7,0,0,0,27.618856,75.812967
332708,12,1,1,SIKAR,RAJASTHAN,SIKAR,RAJASTHAN,exact,True,12,0,0,0,27.582801,75.659085
332709,19,1,1,SIKAR,RAJASTHAN,SIKAR,RAJASTHAN,exact,True,19,0,0,0,27.593874,75.523135
332710,7,1,1,SIKAR,RAJASTHAN,SIKAR,RAJASTHAN,exact,True,7,0,0,0,27.239482,75.234289
332711,7,1,1,SIKAR,RAJASTHAN,SIKAR,RAJASTHAN,exact,True,7,0,0,0,27.534856,75.551566
332712,6,1,1,SIKAR,RAJASTHAN,SIKAR,RAJASTHAN,exact,True,6,0,0,0,27.423849,75.710945
332713,12,1,1,SIKAR,RAJASTHAN,SIKAR,RAJASTHAN,exact,True,12,0,0,0,27.756941,75.808616
332714,5,1,1,SIKAR,RAJASTHAN,SIKAR,RAJASTHAN,exact,True,5,0,0,0,27.64085,75.745991
332715,20,1,1,SIKAR,RAJASTHAN,SIKAR,RAJASTHAN,exact,True,20,0,0,0,27.475984,75.610884
332716,5,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,5,0,0,0,27.838397,75.712823
332718,16,1,1,SIKAR,RAJASTHAN,SIKAR,RAJASTHAN,exact,True,16,0,0,0,27.808901,75.977603
332719,8,1,1,SIKAR,RAJASTHAN,SIKAR,RAJASTHAN,exact,True,8,0,0,0,27.530787,75.745139
332721,5,1,1,SIKAR,RAJASTHAN,SIKAR,RAJASTHAN,exact,True,5,0,0,0,27.619113,75.310804
332722,7,1,1,SIKAR,RAJASTHAN,SIKAR,RAJASTHAN,exact,True,7,0,0,0,27.50417,75.519771
332742,6,1,1,SIKAR,RAJASTHAN,SIKAR,RAJASTHAN,exact,True,6,0,0,0,27.214499,75.158074
332746,8,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,8,0,0,0,28.051719,75.967582
333001,19,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,19,0,0,0,28.109349,75.404936
333010,9,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,9,0,0,0,28.148686,75.239724
333011,6,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,6,0,0,0,28.209195,75.336036
333012,6,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,6,0,0,0,27.918569,75.48983
333020,8,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,8,0,0,0,28.031232,75.580725
333021,9,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,9,0,0,0,28.011196,75.479708
333022,9,2,2,JHUNJHUNU|MULUGU,RAJASTHAN|TELANGANA,JHUNJHUNU,RAJASTHAN,ambiguous_state,False,9,0,0,0,27.834615,75.523353
333023,13,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,13,0,0,0,28.204154,75.479583
333024,6,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,6,0,0,0,28.127271,75.522918
333025,7,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,7,0,0,0,28.288756,75.447929
333026,11,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,11,0,0,0,28.237828,75.647461
333027,7,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,7,0,0,0,28.17896,75.643735
333028,10,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,10,0,0,0,28.093619,75.602664
333029,9,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,9,0,0,0,28.314219,75.758487
333030,5,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,5,0,0,0,28.336055,75.685805
333031,20,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,20,0,0,0,28.416639,75.647864
333032,3,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,3,0,0,0,27.856061,75.433903
333033,12,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,12,0,0,0,28.319979,75.860222
333034,11,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,11,0,0,0,28.257292,75.956384
333035,4,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,4,0,0,0,28.308864,75.598427
333036,6,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,6,0,0,0,27.978811,75.904379
333041,9,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,9,0,0,0,28.061566,75.297051
333042,11,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,11,0,0,0,27.845856,75.307475
333053,7,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,7,0,0,0,27.849337,75.625291
333055,6,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,6,0,0,0,27.925551,75.676566
333302,5,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,5,0,0,0,27.736422,75.586118
333303,4,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,4,0,0,0,27.723698,75.411688
333304,5,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,5,0,0,0,27.794424,75.330261
333305,7,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,7,0,0,0,27.916754,75.418975
333307,7,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,7,0,0,0,27.737323,75.456133
333308,4,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,4,0,0,0,27.79992,75.400113
333501,6,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,6,0,0,0,27.887357,75.762341
333502,13,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,12,1,0,0,28.196157,75.867391
333503,13,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,13,0,0,0,27.989952,75.827354
333504,5,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,5,0,0,0,28.076847,75.817552
333514,7,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,7,0,0,0,28.052839,75.714417
333515,12,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,12,0,0,0,28.173891,75.964766
333516,7,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,7,0,0,0,28.119458,75.853185
333517,13,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,13,0,0,0,28.169108,75.743852
333701,2,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,2,0,0,0,27.979596,75.191066
333702,1,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,1,0,0,0,27.902556,75.227639
333704,14,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,14,0,0,0,28.074184,75.181969
333705,9,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,9,0,0,0,27.947852,75.249361
333707,11,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,11,0,0,0,27.972773,75.340082
333801,5,1,1,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,RAJASTHAN,exact,True,5,0,0,0,27.739997,75.225378
334001,36,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,36,0,0,0,28.102129,73.266448
334002,1,1,1,RAIPUR,CHHATTISGARH,RAIPUR,CHHATTISGARH,exact,True,1,0,0,0,28.020823,73.315822
334003,1,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,1,0,0,0,28.020833,73.315833
334004,2,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,2,0,0,0,28.025478,73.3022
334006,2,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,2,0,0,0,28.087656,73.187049
334021,12,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,12,0,0,0,28.591064,73.479324
334022,7,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,7,0,0,0,28.107314,73.481311
334023,10,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,9,0,1,0,28.491712,72.959019
334024,9,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,9,0,0,0,28.079769,72.969057
334025,7,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,2,0,5,0,27.63925,73.805785
334201,10,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,10,0,0,0,27.926938,73.519872
334202,7,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,7,0,0,0,27.936409,73.666815
334302,15,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,15,0,0,0,27.728271,72.914451
334303,12,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,12,0,0,0,27.741168,72.735384
334305,19,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,19,0,0,0,28.112652,72.489178
334401,1,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,1,0,0,0,27.983056,73.298611
334402,7,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,7,0,0,0,27.975137,73.452454
334403,1,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,1,0,0,0,27.974167,73.298611
334601,9,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,9,0,0,0,28.319859,73.476624
334602,7,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,7,0,0,0,28.260801,73.862531
334603,17,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,17,0,0,0,28.55729,73.781266
334604,16,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,16,0,0,0,28.803914,73.980197
334801,8,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,8,0,0,0,27.765038,73.404015
334802,15,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,15,0,0,0,27.614659,73.815441
334803,22,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,22,0,0,0,27.595826,73.3286
334804,10,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,10,0,0,0,27.808323,72.901881
334808,14,1,1,BIKANER,RAJASTHAN,BIKANER,RAJASTHAN,exact,True,14,0,0,0,28.45607,72.735686
335001,25,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,25,0,0,0,29.850201,73.843555
335002,11,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,11,0,0,0,29.859422,73.894221
335021,10,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,10,0,0,0,28.131023,76.76213
335022,15,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,15,0,0,0,29.424433,73.964078
335024,16,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,16,0,0,0,29.433894,74.025914
335025,8,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,7,1,0,0,29.878335,74.263011
335027,14,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,14,0,0,0,30.08323,73.769324
335037,4,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,4,0,0,0,29.765056,74.182413
335038,10,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,10,0,0,0,29.923574,73.7037
335039,13,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,13,0,0,0,29.531881,73.605302
335040,8,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,8,0,0,0,29.793852,73.602522
335041,18,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,18,0,0,0,29.211302,74.18246
335042,1,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,1,0,0,0,29.650009,73.783332
335051,25,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,25,0,0,0,29.43423,73.645723
335061,8,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,1,0,7,0,28.041444,72.426417
335062,16,2,1,GANGANAGAR|HANUMANGARH,RAJASTHAN,GANGANAGAR,RAJASTHAN,district_mode_selected,False,16,0,0,0,29.894525,74.228846
335063,27,1,1,HANUMANGARH,RAJASTHAN,HANUMANGARH,RAJASTHAN,exact,True,27,0,0,0,29.80616,74.452868
335064,7,1,1,HANUMANGARH,RAJASTHAN,HANUMANGARH,RAJASTHAN,exact,True,7,0,0,0,29.853344,74.649872
335065,6,1,1,HANUMANGARH,RAJASTHAN,HANUMANGARH,RAJASTHAN,exact,True,6,0,0,0,28.825019,75.06831
335073,21,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,21,0,0,0,29.791183,73.712076
335501,14,1,1,HANUMANGARH,RAJASTHAN,HANUMANGARH,RAJASTHAN,exact,True,14,0,0,0,28.206958,74.821367
335502,11,1,1,HANUMANGARH,RAJASTHAN,HANUMANGARH,RAJASTHAN,exact,True,11,0,0,0,28.916738,75.553547
335503,9,1,1,HANUMANGARH,RAJASTHAN,HANUMANGARH,RAJASTHAN,exact,True,9,0,0,0,28.976935,75.506427
335504,17,1,1,HANUMANGARH,RAJASTHAN,HANUMANGARH,RAJASTHAN,exact,True,17,0,0,0,28.978406,74.842927
335511,11,1,1,HANUMANGARH,RAJASTHAN,HANUMANGARH,RAJASTHAN,exact,True,11,0,0,0,29.159677,75.102375
335512,12,1,1,HANUMANGARH,RAJASTHAN,HANUMANGARH,RAJASTHAN,exact,True,12,0,0,0,29.637968,74.29085
335513,11,2,2,HANUMANGARH|MULUGU,RAJASTHAN|TELANGANA,HANUMANGARH,RAJASTHAN,ambiguous_state,False,11,0,0,0,29.619603,74.414791
335521,5,1,1,HANUMANGARH,RAJASTHAN,HANUMANGARH,RAJASTHAN,exact,True,1,0,4,0,29.0672,74.32329
335522,19,1,1,HANUMANGARH,RAJASTHAN,HANUMANGARH,RAJASTHAN,exact,True,1,0,18,0,28.930703,74.209623
335523,38,1,1,HANUMANGARH,RAJASTHAN,HANUMANGARH,RAJASTHAN,exact,True,38,0,0,0,29.132821,74.719374
335524,25,1,1,HANUMANGARH,RAJASTHAN,HANUMANGARH,RAJASTHAN,exact,True,1,0,24,0,29.273033,74.402361
335525,2,1,1,HANUMANGARH,RAJASTHAN,HANUMANGARH,RAJASTHAN,exact,True,1,0,1,0,29.515,74.588861
335526,15,2,2,HANUMANGARH|MULUGU,RAJASTHAN|TELANGANA,HANUMANGARH,RAJASTHAN,ambiguous_state,False,1,0,14,0,29.556417,74.504028
335701,20,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,1,0,19,0,29.19184,73.20496
335702,14,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,14,0,0,0,29.154996,73.854951
335703,19,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,1,0,18,0,29.072667,73.115333
335704,28,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,28,0,0,0,29.228674,73.64263
335707,23,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,1,0,22,0,29.903523,73.879739
335708,20,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,1,0,19,0,28.838392,72.886836
335711,17,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,1,0,16,0,29.903523,73.879739
335801,8,1,1,HANUMANGARH,RAJASTHAN,HANUMANGARH,RAJASTHAN,exact,True,8,0,0,0,29.496629,74.205503
335802,13,1,1,HANUMANGARH,RAJASTHAN,HANUMANGARH,RAJASTHAN,exact,True,13,0,0,0,29.60765,74.7313
335803,21,1,1,HANUMANGARH,RAJASTHAN,HANUMANGARH,RAJASTHAN,exact,True,1,0,20,0,29.485278,74.073889
335804,31,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,31,0,0,0,29.208895,73.942367
335805,13,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,13,0,0,0,29.354241,74.095055
335901,7,1,1,GANGANAGAR,RAJASTHAN,GANGANAGAR,RAJASTHAN,exact,True,7,0,0,0,30.092436,73.9458
341001,16,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,16,0,0,0,26.850968,74.001969
341002,13,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,13,0,0,0,27.429112,73.863163
341003,1,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,1,0,0,0,27.325463,73.576557
341020,13,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,13,0,0,0,27.265297,73.555444
341021,5,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,5,0,0,0,27.0281,73.763799
341022,11,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,11,0,0,0,27.360798,73.969802
341023,14,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,14,0,0,0,27.306262,74.277394
341024,12,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,1,0,11,0,27.199722,73.729722
341025,23,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,1,0,22,0,27.010611,73.767278
341026,6,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,1,0,5,0,27.057917,73.824
341027,8,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,8,0,0,0,27.197413,74.034258
341028,13,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,1,0,12,0,26.911444,73.8425
341029,5,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,4,0,1,0,27.53824,73.978203
341030,7,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,1,0,6,0,27.141444,74.12625
341031,10,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,10,0,0,0,26.511981,74.188086
341301,7,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,1,0,6,0,27.639,73.9915
341302,6,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,6,0,0,0,26.483535,73.986645
341303,12,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,12,0,0,0,27.431612,74.580156
341304,8,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,8,0,0,0,27.775602,74.873727
341305,8,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,8,0,0,0,27.091158,75.305244
341306,7,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,7,0,0,0,27.637692,74.384843
341307,12,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,12,0,0,0,27.344689,74.565137
341309,11,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,11,0,0,0,27.25733,74.161165
341316,10,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,10,0,0,0,27.38811,74.169501
341317,6,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,6,0,0,0,27.418941,74.35071
341318,6,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,6,0,0,0,27.278871,74.479698
341319,11,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,11,0,0,0,27.169271,74.525682
341501,8,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,8,0,0,0,26.926278,74.358203
341502,14,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,14,0,0,0,27.053317,74.637177
341503,20,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,20,0,0,0,26.229804,74.380492
341504,16,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,16,0,0,0,26.983021,74.52998
341505,13,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,13,0,0,0,27.080253,74.730853
341506,10,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,10,0,0,0,27.149967,74.67484
341507,4,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,4,0,0,0,27.12208,75.128324
341508,22,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,21,0,1,0,26.999541,74.755629
341509,16,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,16,0,0,0,26.95473,74.936401
341510,30,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,30,0,0,0,26.630973,74.26485
341511,10,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,10,0,0,0,26.730592,73.91802
341512,21,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,21,0,0,0,26.635165,74.808989
341513,9,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,9,0,0,0,26.615866,74.208749
341514,14,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,1,0,13,0,26.783333,74.083333
341515,7,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,7,0,0,0,27.756033,75.311991
341516,5,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,5,0,0,0,27.35223,74.816382
341517,5,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,5,0,0,0,27.466819,74.370031
341518,7,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,7,0,0,0,26.520653,74.075387
341519,10,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,10,0,0,0,27.259723,74.966266
341520,8,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,8,0,0,0,26.837036,74.490551
341521,12,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,1,0,11,0,26.793686,74.264842
341533,4,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,4,0,0,0,26.662127,74.369592
341551,12,1,1,NAGAUR,RAJASTHAN,NAGAUR,RAJASTHAN,exact,True,12,0,0,0,27.392334,74.603559
342001,8,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,8,0,0,0,26.289221,73.016353
342002,1,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,1,0,0,0,26.273036,73.02042
342003,3,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,3,0,0,0,26.263417,73.01178
342005,3,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,3,0,0,0,26.228689,73.021473
342006,3,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,3,0,0,0,26.299872,73.045299
342007,1,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,1,0,0,0,26.321056,73.047444
342008,2,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,2,0,0,0,26.25818,72.978504
342011,4,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,4,0,0,0,26.26831,73.036064
342012,1,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,1,0,0,0,26.190972,72.935444
342013,3,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,3,0,0,0,26.631844,72.939668
342014,15,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,15,0,0,0,26.233598,72.970884
342015,5,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,5,0,0,0,26.324377,73.17195
342016,1,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,1,0,0,0,26.21502,73.04824
342017,2,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,2,0,0,0,26.262931,72.965521
342021,6,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,6,0,0,0,26.59513,72.260993
342022,12,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,12,0,0,0,26.372094,72.311853
342023,17,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,13,0,4,0,27.248544,72.637861
342024,15,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,11,0,4,0,26.275848,73.002523
342025,15,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,15,0,0,0,26.600806,72.273435
342026,1,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,1,0,0,0,26.331889,73.042472
342027,21,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,20,1,0,0,26.330864,73.17849
342028,5,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,5,0,0,0,26.425517,72.343237
342029,7,1,1,JODHPUR,RAJASTHAN,JODHPUR,RAJASTHAN,exact,True,7,0,0,0,26.739623,73.288276
